trading_code,Sector
1JANATAMF,MutualFunds
1STICB,MutualFunds
1STPRIMFMF,MutualFunds
2NDICB,MutualFunds
3RDICB,MutualFunds
4THICB,MutualFunds
5THICB,MutualFunds
6THICB,MutualFunds
7THICB,MutualFunds
8THICB,MutualFunds
AAMRANET,ITSector
AAMRATECH,ITSector
AB Bank,Bank
ABB1STMF,MutualFunds
ABBANK,Bank
ABRAMIT,Cement
ACFL,Textile
ACHIASF,Food&Allied
ACI,Pharmaceuticals&Chemicals
ACIFORMULA,Pharmaceuticals&Chemicals
ACMELAB,Pharmaceuticals&Chemicals
ACMEPL,Pharmaceuticals&Chemicals
ACTIVEFINE,Pharmaceuticals&Chemicals
ADNTEL,ITSector
ADVENT,Pharmaceuticals&Chemicals
AFCAGRO,Pharmaceuticals&Chemicals
AFTABAUTO,Engineering
AGNISYSL,ITSector
AGRANINS,Insurance
AIBL1STIMF,MutualFunds
AIL,Textile
AIMS1STMF,MutualFunds
AL- HAJTEX,Textile
ALARA,Bank
ALARABANK,Bank
AL-HAJTEX,Textile
ALIF,Textile
ALLTEX,Textile
AMANFEED,Miscellaneous
AMBEEPHA,Pharmaceuticals&Chemicals
AMCL(PRAN),Food&Allied
AMPL,Pharmaceuticals&Chemicals
ANLIMAYARN,Textile
ANWARGALV,Engineering
AOL,Power&Fuel
AOPLC,Food&Allied
APEXFOODS,Food&Allied
APEXFOOT,Tannery Industries
APEXSPINN,Textile
APEXTANRY,Tannery Industries
APEXWEAV,Textile
APOLOISPAT,Engineering
ARAMIT,Miscellaneous
ARGONDENIM,Textile
ASIAINS,Insurance
ASIAPACINS,Insurance
ATCSLGF,MutualFunds
ATLASBANG,Engineering
AZIZPIPES,Engineering
BANGAS,Food&Allied
BANK ASIA,Bank
BANKASIA,Bank
BARAKPW,Power&Fuel
BATASHOE,Tannery Industries
BATBC,Food&Allied
BAYLEASING,Financial Institutions
BBS,Engineering
BBSCABLES,Engineering
BDAUTOCA,Engineering
BDCOM,ITSector
BDFINANCE,Financial Institutions
BDLAMPS,Engineering
BDPAINTS,Pharmaceuticals&Chemicals
BDSER,Travel&Lesiure
BDSERVICE,Travel&Lesiure
BDTHAI,Engineering
BDTHAIFOOD,Food&Allied
BDWELD,Power&Fuel
BEACHHATCH,Food&Allied
BEACONPHAR,Pharmaceuticals&Chemicals
BENGALBISC,Food&Allied
BENGALWTL,Engineering
BERGERPBL,Miscellaneous
BESTHLDNG,Travel&Lesiure
BEXIMCO,Miscellaneous
BGIC,Insurance
BIFC,Financial Institutions
BNICL,Insurance
BPML,PaperPrint
BRAC,Bank
BRACBANK,Bank
BSC,Miscellaneous
BSCCL,Telecommunication
BSRMLTD,Engineering
BXPHARMA,Pharmaceuticals&Chemicals
BXSYNTH,Pharmaceuticals&Chemicals
CAPMBDBLMF,MutualFunds
CAPMIBBLMF,MutualFunds
CENTRALINS,Insurance
CENTRALPHL,Pharmaceuticals&Chemicals
City Bank,Bank
CITYBANK,Bank
CITYGENINS,Insurance
CLICL,Insurance
CNATEX,Textile
CONFID,Cement
CONTININS,Insurance
COPPERTECH,Engineering
CROWN,Cement
CRYSTALINS,Insurance
CVOPRL,Power&Fuel
DACCADYE,Textile
DAFODILCOM,ITSector
DBH,Financial Institutions
DBH1STMF,MutualFunds
DELTALIFE,Insurance
DELTASPINN,Textile
DESCO,Power&Fuel
DESHBANDHU,Engineering
DGIC,Insurance
DHAKA,Bank
DHAKABANK,Bank
DHAKAINS,Insurance
DOMINAGE,Engineering
DOREENPWR,Power&Fuel
DSHGARME,Textile
DSSL,Textile
DULAMIACOT,Textile
DULAMIYACOT,Textile
DUTCH BANGLA,Bank
EASTERNINS,Insurance
EASTLAND,Insurance
EBL,Bank
EBL1STMF,MutualFunds
EBLNRBMF,MutualFunds
ECABLES,Engineering
EGEN,ITSector
EHL,Services & Real Estate
EIL,Insurance
EMERALDOIL,Food&Allied
ENVOYTEX,Textile
EPGL,Power&Fuel
ESQUIRENIT,Textile
ESTERNLUB,Power&Fuel
ETL,Textile
EXIM,Bank
EXIM1STMF,MutualFunds
EXIMBANK,Bank
FAMILYTEX,Textile
FARCHEM,Pharmaceuticals&Chemicals
FAREASTFIN,Financial Institutions
FAREASTLIF,Insurance
FASFIN,Financial Institutions
FBFIF,MutualFunds
FEDERALINS,Insurance
FEKDIL,Textile
FINEFOODS,Food&Allied
FIRST,Bank
FIRSTBANK,Bank
FIRSTFIN,Financial Institutions
FORTUNE,Tannery Industries
FUWANG,Ceramics
FUWANGFOOD,Food&Allied
GBBPOWER,Power&Fuel
GEMINISEA,Food&Allied
GENEXIL,ITSector
GENNEXT,Textile
GHAIL,Food&Allied
GHCL,Pharmaceuticals&Chemicals
GIB,Bank
GLDNJMF,MutualFunds
GLOBALINS,Insurance
GOLDENSON,Engineering
GP,Telecommunication
GPHISPAT,Engineering
GQBALLPEN,Miscellaneous
GRAMEEN1,MutualFunds
GRAMEENS2,MutualFunds
GREENDELMF,MutualFunds
GREENDELT,Insurance
GSPFINANCE,Financial Institutions
HAKKANI,PaperPrint
HAKKANIPUL,PaperPrint
HEIDEL,Cement
HFL,Textile
HIMADRI,Miscellaneous
HRTEX,Textile
HWAWELLTEX,Textile
IBNSINA,Pharmaceuticals&Chemicals
IBP,Pharmaceuticals&Chemicals
ICB,Financial Institutions
ICB1STNRB,MutualFunds
ICB2NDNRB,MutualFunds
ICB3RDNRB,MutualFunds
ICBAGRANI1,MutualFunds
ICBAGRANI2,MutualFunds
ICBAGRANI3,MutualFunds
ICBAGRANI4,MutualFunds
ICBAGRANI5,MutualFunds
ICBAGRANI6,MutualFunds
ICBAMCL1ST,MutualFunds
ICBAMCL2ND,MutualFunds
ICBEPMF1S1,MutualFunds
ICBI,Bank
ICBIBANK,Bank
ICBSONALI1,MutualFunds
ICICL,Insurance
IDLC,Financial Institutions
IFADAUTOS,Engineering
IFIC,Bank
IFIC1STMF,MutualFunds
IFILISLMF1,MutualFunds
ILFSL,Financial Institutions
IMAMBUTTON,Pharmaceuticals&Chemicals
INDEXAGRO,Miscellaneous
INTECH,ITSector
INTRACO,Power&Fuel
IPDC,Financial Institutions
ISLAMI,Bank
ISLAMIBANK,Bank
ISLAMICFIN,Financial Institutions
ISLAMIINS,Insurance
ISNLTD,ITSector
ITC,ITSector
JAMUNA,Bank
JAMUNABANK,Bank
JAMUNAOIL,Power&Fuel
JANATAINS,Insurance
JHRML,Pharmaceuticals&Chemicals
JMISMDL,Pharmaceuticals&Chemicals
JUTESPINN,Jute
KARNAPHULI,Insurance
KAY&QUE,Engineering
KBPPWBIL,Miscellaneous
KBSEED,Miscellaneous
KDSALTD,Engineering
KEYACOSMET,Pharmaceuticals&Chemicals
KFL,Miscellaneous
