Model,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),F1-Score (Weighted),ROC-AUC (Macro)
Flow MLP Baseline,0.5678991312596599,0.2655679294748624,0.44901887548230324,0.228183921207861,0.5690482761637886,0.5539450658336491
Spatial GCN,0.9728106353225952,0.6234935649050112,0.9533150912051876,0.6683784534909233,0.9744866417407745,0.9848922412237391
Spatial GraphSAGE,0.9343251929246864,0.585495574838433,0.7883996906886337,0.4421388435303423,0.9290939799861947,0.9500594986923947
Temporal LSTM-GNN,0.986366473764696,0.5671234517031636,0.9672919606334476,0.5776122250475809,0.990351437063314,0.9994613190610675
