name,ticker,market,sector
Argon Denims Ltd.,ARGONDENIM,DSEBD,Consumer non-durables
Asia Insurance PLC,ASIAINS,DSEBD,Finance
Asia Pacific General Insurance Company Limited,ASIAPACINS,DSEBD,Finance
Asiatic Laboratories Ltd,ASIATICLAB,DSEBD,Health technology
Atlas Bangladesh Limited,ATLASBANG,DSEBD,Consumer durables
Aziz Pipes Limited.,AZIZPIPES,DSEBD,Producer manufacturing
Bangas Limited,BANGAS,DSEBD,Consumer non-durables
Bank Asia PLC,BANKASIA,DSEBD,Finance
Baraka Power Ltd.,BARKAPOWER,DSEBD,Utilities
Bata Shoe Co. (Bangladesh) Ltd.,BATASHOE,DSEBD,Consumer non-durables
British American Tobacco Bangladesh Co Ltd,BATBC,DSEBD,Consumer non-durables
Bay Leasing and Investment Ltd.,BAYLEASING,DSEBD,Finance
Bangladesh Building Systems PLC,BBS,DSEBD,Producer manufacturing
BBS Cables PLC,BBSCABLES,DSEBD,Producer manufacturing
Bangladesh Autocars Limited,BDAUTOCA,DSEBD,Energy minerals
BDCOM Online Ltd.,BDCOM,DSEBD,Technology services
Bangladesh Finance PLC,BDFINANCE,DSEBD,Finance
Bangladesh Lamps PLC,BDLAMPS,DSEBD,Producer manufacturing
Bangladesh Thai Aluminium Ltd.,BDTHAI,DSEBD,Non-energy minerals
BD Thai Food & Beverage Ltd.,BDTHAIFOOD,DSEBD,Consumer non-durables
Bangladesh Welding Electrodes Ltd.,BDWELDING,DSEBD,Producer manufacturing
Beach Hatchery Ltd,BEACHHATCH,DSEBD,Process industries
Beacon Pharmaceuticals PLC,BEACONPHAR,DSEBD,Health technology
Bengal Windsor Thermoplastics PLC,BENGALWTL,DSEBD,Producer manufacturing
Berger Paints Bangladesh Ltd.,BERGERPBL,DSEBD,Process industries
Best Holdings PLC,BESTHLDNG,DSEBD,Industrial services
Bangladesh Export Import Company Ltd.,BEXIMCO,DSEBD,Process industries
Bangladesh General Insurance Company PLC,BGIC,DSEBD,Finance
Bangladesh Industrial Finance Company Ltd.,BIFC,DSEBD,Finance
Bangladesh National Insurance Company Ltd,BNICL,DSEBD,Finance
Bashundhara Paper Mill Ltd.,BPML,DSEBD,Process industries
Baraka Patenga Power Ltd.,BPPL,DSEBD,Utilities
BRAC Bank PLC,BRACBANK,DSEBD,Finance
Bangladesh Shipping Corporation,BSC,DSEBD,Transportation
Bangladesh Submarine Cables PLC,BSCPLC,DSEBD,Communications
Bangladesh Steel Re-Rolling Mills Ltd.,BSRMLTD,DSEBD,Non-energy minerals
BSRM Steels Limited,BSRMSTEEL,DSEBD,Non-energy minerals
Beximco Pharmaceuticals Limited,BXPHARMA,DSEBD,Health technology
Central Insurance Company Limited,CENTRALINS,DSEBD,Finance
Central Pharmaceuticals Ltd.,CENTRALPHL,DSEBD,Health technology
City Bank PLC,CITYBANK,DSEBD,Finance
City Insurance PLC,CITYGENINS,DSEBD,Finance
Chartered Life Insurance PLC,CLICL,DSEBD,Finance
C & A Textiles Ltd,CNATEX,DSEBD,Process industries
Confidence Cement PLC,CONFIDCEM,DSEBD,Non-energy minerals
Continental Insurance PLC,CONTININS,DSEBD,Finance
Coppertech Industries Ltd,COPPERTECH,DSEBD,Non-energy minerals
Crown Cement PLC,CROWNCEMNT,DSEBD,Non-energy minerals
Crystal Insurance Company Ltd,CRYSTALINS,DSEBD,Finance
CVO Petrochemical Refinery PLC,CVOPRL,DSEBD,Energy minerals
Dacca Dyeing and Manufacturing Company Limited,DACCADYE,DSEBD,Process industries
Daffodil Computers PLC.,DAFODILCOM,DSEBD,Distribution services
DBH Finance PLC,DBH,DSEBD,Finance
Delta Life Insurance Company Ltd.,DELTALIFE,DSEBD,Finance
Delta Spinners Limited,DELTASPINN,DSEBD,Process industries
Dhaka Electric Supply Co. Ltd.,DESCO,DSEBD,Utilities
Deshbandhu Polymer Limited,DESHBANDHU,DSEBD,Health technology
Desh General Insurance Company Ltd,DGIC,DSEBD,Finance
Dhaka Bank PLC,DHAKABANK,DSEBD,Finance
Dhaka Insurance Limited,DHAKAINS,DSEBD,Finance
Dominage Steel Building Systems Ltd,DOMINAGE,DSEBD,Industrial services
Doreen Power Generations & Systems Ltd.,DOREENPWR,DSEBD,Utilities
Desh Garments Limited.,DSHGARME,DSEBD,Consumer non-durables
Dragon Sweater & Spinning Ltd.,DSSL,DSEBD,Consumer non-durables
Dulamia Cotton Spinning Mills Limited,DULAMIACOT,DSEBD,Process industries
Dutch-Bangla Bank PLC,DUTCHBANGL,DSEBD,Finance
Eastern Insurance Co. Ltd.,EASTERNINS,DSEBD,Finance
Eastland Insurance PLC,EASTLAND,DSEBD,Finance
Eastern Lubricants Blenders PLC,EASTRNLUB,DSEBD,Process industries
Eastern Bank PLC,EBL,DSEBD,Finance
Eastern Cables Ltd.,ECABLES,DSEBD,Producer manufacturing
eGeneration PLC,EGEN,DSEBD,Commercial services
Eastern Housing Ltd.,EHL,DSEBD,Finance
Express Insurance Ltd.,EIL,DSEBD,Finance
